id;name;cpf;email;contact;emergency_contact;public_score;average_km;average_inspectio_score;average_driver_car_score
1;Investment;Re-contextualized e-;Bencio.Saraiva@bol.com.br;brand ability;Prático Alameda;52438;90182;78296;17376
2;Incrível Iêmen Luvas;celeste back-end cus;Gustavo.Moraes@yahoo.com;mission-critical;Plástico GB;89643;10317;36029;75950
3;invoice;Ilha Fresco;Csar_Franco42@bol.com.br;Markets;withdrawal Alameda withdrawal;67602;54933;70063;68379
4;matrix;Ferramentas revoluti;Hugo.Franco8@gmail.com;Consultant schemas RAM;Saúde;93783;85249;79638;46777
5;Berkshire;logistical;Vitor35@yahoo.com;index;benchmark Administrator synthesizing;45510;32292;86930;74975
6;CSS Santa;online;Breno.Reis85@hotmail.com;Sapatos modular Paraná;Salomão;48150;4602;95074;69541
7;Berkshire cutting-edge Luxemburgo;transmit;Isabelly.Reis6@live.com;platforms;hour Ergonômico Fresco;32953;56452;3670;74584
8;Credit quantifying Alameda;Luvas hack Travessa;Roberta72@bol.com.br;Buckinghamshire virtual;Cross-group;56543;6084;35471;27345
9;Profit-focused Human;Liechtenstein bandwi;Emanuelly.Macedo50@gmail.com;Guiné bandwidth Prático;COM;74837;62731;75095;38223
10;encompassing;Sapatos Incrível;Luiza67@hotmail.com;action-items invoice;ROI AI cross-platform;69060;5858;37597;83127
